CMAT;DTJRE;PERIODE;STATUS
769;20181026;J;A
769;20181029;J;A
769;20181030;J;A
769;20181031;J;A
769;20181102;J;A
896;20181102;J;A
896;20181123;J;A
896;20181224;J;A
896;20181231;J;
11711;20181015;J;A
11711;20181016;J;A
11711;20181017;J;A
11711;20181018;J;A
11711;20181019;J;A
11711;20181119;J;A
11711;20181120;J;A
11711;20181121;J;A
11711;20181122;J;A
11711;20181123;J;A
11711;20181210;J;A
11711;20181211;J;A
11711;20181212;J;A
11711;20181213;J;A
11711;20181214;J;A
11711;20190114;J;A
11711;20190115;J;A
11711;20190116;J;A
11711;20190117;J;A
11711;20190118;J;A
11711;20190211;J;A
11711;20190212;J;A
11711;20190213;J;A
11711;20190214;J;A
11711;20190215;J;A
11711;20190318;J;A
11711;20190319;J;A
11711;20190320;J;A
11711;20190321;J;A
11711;20190322;J;A
11711;20190617;J;A
11711;20190618;J;A
11711;20190619;J;A
11711;20190620;J;A
11711;20190621;J;A
11711;20190701;J;A
11711;20190702;J;A
11711;20190703;J;A
11711;20190704;J;A
11711;20190705;J;A
11962;20181008;J;A
11962;20181224;J;A
11962;20181226;J;A
11962;20181227;J;A
11962;20181228;J;A
11962;20181231;J;A
11962;20190102;J;A
11962;20190307;J;A
11962;20190308;J;A
11962;20190311;J;A
11962;20190312;J;A
11962;20190313;J;A
11962;20190314;J;A
11962;20190315;J;A
11962;20190318;J;A
11962;20190319;J;A
11962;20190320;J;A
11962;20190321;J;A
11962;20190322;J;A
11962;20190325;J;A
12629;20181102;J;A
13483;20181008;J;A
13483;20181009;J;A
13483;20181010;J;A
13483;20181011;J;A
13483;20181012;J;A
13483;20181015;J;A
13483;20181016;J;A
13483;20181017;J;A
13483;20181018;J;A
13483;20181019;J;A
13483;20181102;J;A
13483;20181105;J;A
13483;20181228;J;A
13483;20181231;J;A
13485;20181102;J;A
13485;20181224;A;A
13485;20181226;J;A
13485;20181227;J;A
13485;20181228;J;A
13485;20181231;A;A
13485;20181231;M;A
13485;20190102;J;A
22874;20181102;J;A
22942;20181024;M;A
23276;20181102;J;A
